caldt,crsp_fundno,mtna,mret,mnav
2001-06-29,016440,0.100,,
2001-07-31,016440,24.700,R,38.0200000
2001-08-31,016440,20.200,-0.182009,31.1000000
2001-09-28,016440,15.500,-0.232154,23.8800000
2001-10-31,016440,17.100,0.191374,28.4500000
2001-11-30,016440,19.800,0.161687,33.0500000
2001-12-31,016440,45.900,-0.073828,30.6100000
2002-01-31,016440,53.300,-0.032996,29.6000000
2002-02-28,016440,40.900,-0.232770,22.7100000
2002-03-28,016440,44.000,0.086306,24.6700000
2002-04-30,016440,53.900,-0.125659,21.5700000
2002-05-31,016440,49.900,-0.075104,19.9500000
2002-06-28,016440,37.100,-0.256140,14.8400000
2002-07-31,016440,24.200,-0.117925,13.0900000
2002-08-30,016440,17.200,-0.028266,12.7200000
2002-09-30,016440,10.600,-0.242925,9.6300000
2002-10-31,016440,12.800,0.208723,11.6400000
2002-11-29,016440,18.000,0.406357,16.3700000
2002-12-31,016440,15.500,-0.177153,13.4700000
2003-01-31,016440,19.900,0.095768,14.7600000
2003-02-28,016440,22.600,-0.012873,14.5700000
2003-03-31,016440,31.700,-0.010295,14.4200000
2003-04-30,016440,40.400,0.122053,16.1800000
2003-05-30,016440,53.700,0.229913,19.9000000
2003-06-30,016440,48.100,-0.013065,19.6400000
2003-07-31,016440,80.900,0.056517,20.7500000
2003-08-29,016440,71.100,0.105542,22.9400000
2003-09-30,016440,88.500,0.028335,23.5900000
2003-10-31,016440,92.900,0.141585,26.9300000
2003-11-28,016440,110.900,0.029707,27.7300000
2003-12-31,016440,102.000,-0.006131,27.5600000
2004-01-30,016440,188.600,0.255443,34.6000000
2004-02-27,016440,173.300,-0.008092,34.3200000
2004-03-31,016440,149.100,-0.085373,31.3900000
2004-04-30,016440,141.200,-0.134756,27.1600000
2004-05-28,016440,132.100,0.093520,29.7000000
2004-06-30,016440,172.400,0.065320,31.6400000
2004-07-30,016440,147.000,-0.147598,26.9700000
2004-08-31,016440,122.600,-0.043011,25.8100000
2004-09-30,016440,124.600,0.038357,26.8000000
2004-10-29,016440,160.300,0.049254,28.1200000
2004-11-30,016440,180.500,0.070057,30.0900000
2004-12-31,016440,179.000,0.008308,30.3400000
2005-01-31,016440,163.700,-0.108108,27.0600000
2005-02-28,016440,150.200,-0.034738,26.1200000
2005-03-31,016440,139.800,-0.026799,25.4200000
2005-04-29,016440,134.900,-0.035012,24.5300000
2005-05-31,016440,171.700,0.119446,27.4600000
2005-06-30,016440,147.000,-0.008376,27.2300000
2005-07-29,016440,148.000,0.098054,29.9000000
2005-08-31,016440,150.100,0.014381,30.3300000
2005-09-30,016440,189.400,0.031982,31.3000000
2005-10-31,016440,193.300,-0.049840,29.7400000
2005-11-30,016440,226.000,0.062878,31.6100000
2005-12-30,016440,228.100,-0.018032,31.0400000
2006-01-31,016440,258.200,0.109214,34.4300000
2006-02-28,016440,265.400,0.001162,34.4700000
2006-03-31,016440,364.600,0.057731,36.4600000
2006-04-28,016440,394.300,-0.038673,35.0500000
2006-05-31,016440,294.700,-0.105563,31.3500000
2006-06-30,016440,246.800,-0.040191,30.0900000
2006-07-31,016440,157.500,-0.127617,26.2500000
2006-08-31,016440,185.100,0.110476,29.1500000
2006-09-29,016440,217.300,0.057290,30.8200000
2006-10-31,016440,213.200,-0.004867,30.6700000
2006-11-30,016440,257.900,0.057711,32.4400000
2006-12-29,016440,234.700,-0.009248,32.1400000
2007-01-31,016440,185.600,-0.004045,32.0100000
2007-02-28,016440,176.200,0.029053,32.9400000
2007-03-30,016440,160.100,-0.027626,32.0300000
2007-04-30,016440,155.800,0.024040,32.8000000
2007-05-31,016440,152.500,0.056707,34.6600000
2007-06-29,016440,146.200,0.029140,35.6700000
2007-07-31,016440,226.100,-0.009532,35.3300000
2007-08-31,016440,237.500,0.010756,35.7100000
2007-09-28,016440,257.800,0.024102,36.5700000
2007-10-31,016440,260.600,0.040197,38.0400000
2007-11-30,016440,240.600,-0.102787,34.1300000
2007-12-31,016440,166.600,-0.003011,33.9960000
2008-01-31,016440,132.800,-0.122309,29.8380000
2008-02-29,016440,101.700,-0.053623,28.2380000
2008-03-31,016440,92.700,-0.034245,27.2710000
2008-04-30,016440,92.000,0.105731,30.1544000
2008-05-30,016440,111.800,0.074858,32.4117000
2008-06-30,016440,104.000,-0.120490,28.5064000
2008-07-31,016440,93.800,0.012576,28.8649000
2008-08-29,016440,90.000,0.022287,29.5082000
2008-09-30,016440,68.300,-0.215845,23.1390000
2008-10-31,016440,47.700,-0.190816,18.7237000
2008-11-28,016440,40.500,-0.099505,16.8606000
2008-12-31,016440,49.000,0.004699,16.8939000
2009-01-30,016440,39.000,0.004818,16.9753000
2009-02-27,016440,33.400,-0.105241,15.1888000
2009-03-31,016440,35.500,0.114433,16.9269000
2009-04-30,016440,62.000,0.284334,21.7398000
2009-05-29,016440,99.100,0.060019,23.0446000
2009-06-30,016440,138.400,0.027179,23.6528000
2009-07-31,016440,164.200,0.044227,24.6989000
2009-08-31,016440,174.500,-0.004765,24.5812000
2009-09-30,016440,187.100,0.095207,26.9215000
2009-10-30,016440,188.100,-0.062237,25.2460000
2009-11-30,016440,185.700,0.014798,25.6196000
2009-12-31,016440,188.700,0.055018,26.9567000
2010-01-29,016440,178.000,-0.063287,25.2507000
2010-02-26,016440,153.500,0.056890,26.6872000
2010-03-31,016440,218.000,0.074957,28.6876000
2010-04-30,016440,232.200,0.044200,29.9556000
